"id","name","link"
"res_certificate_server_ApisTest","ApisTest","https://cistest.apis-it.hr:8449/FiskalizacijaServiceTest"
"res_certificate_server_Produkcija","Produkcija","https://cis.porezna-uprava.hr:8449/FiskalizacijaService"
